Датасет,Модель,Тип атаки,ε (доля),Профиль защиты,F1_base,F1_prot,F1_std,ASR_prot,removal_rate,time_ratio,I_score
Adult,GB,Backdoor,0.0100,auto,0.7824,0.7819,,0.9999,0.0100,,-1.6865
Adult,GB,Backdoor,0.0100,backdoor,0.7824,0.7819,,0.9999,0.0100,,-1.4872
Adult,GB,Backdoor,0.0500,auto,0.7824,0.7835,,1.0,0.0500,,-1.3894
Adult,GB,Backdoor,0.0500,backdoor,0.7824,0.7835,,1.0,0.0500,,-1.5861
Adult,GB,Backdoor,0.1000,auto,0.7824,0.7859,,1.0,0.1000,,-1.3995
Adult,GB,Backdoor,0.1000,backdoor,0.7824,0.7826,0.0090,1.0,0.1000,4.2081,-0.4415
Adult,GB,Backdoor,0.1500,auto,0.7824,0.7874,0.0065,1.0,0.1500,4.2713,-0.4517
Adult,GB,Backdoor,0.1500,backdoor,0.7824,0.7874,0.0065,1.0,0.1500,2.7059,-0.1386
Adult,GB,Backdoor,0.2000,auto,0.7824,0.7918,0.0073,1.0,0.2000,3.7297,-0.3411
Adult,GB,Backdoor,0.2000,backdoor,0.7824,0.7918,0.0073,1.0,0.2000,2.7875,-0.1527
Adult,GB,Backdoor,0.2500,auto,0.7824,0.7950,0.0066,1.0,0.2500,3.9525,-0.3840
Adult,GB,Backdoor,0.2500,backdoor,0.7824,0.7950,0.0066,1.0,0.2500,2.6217,-0.1179
Adult,GB,Backdoor,0.3000,auto,0.7824,0.7957,0.0088,1.0,0.3000,3.9141,-0.3760
Adult,GB,Backdoor,0.3000,backdoor,0.7824,0.7957,0.0088,1.0,0.3000,3.4076,-0.2747
Adult,GB,Random_LF,0.0100,auto,0.7824,0.7816,0.0063,,0.0100,4.5289,-0.1062
Adult,GB,Random_LF,0.0100,lf,0.7824,0.7816,0.0063,,0.0100,4.2471,-0.0498
Adult,GB,Random_LF,0.0500,auto,0.7824,0.7797,0.0090,,0.0500,3.7306,0.0525
Adult,GB,Random_LF,0.0500,lf,0.7824,0.7797,0.0090,,0.0500,4.1962,-0.0406
Adult,GB,Random_LF,0.1000,auto,0.7824,0.7773,0.0089,,0.1000,3.6712,0.0632
Adult,GB,Random_LF,0.1000,lf,0.7824,0.7773,0.0089,,0.1000,4.3109,-0.0648
Adult,GB,Random_LF,0.1500,auto,0.7824,0.7772,0.0077,,0.1500,5.3299,-0.2686
Adult,GB,Random_LF,0.1500,lf,0.7824,0.7772,0.0077,,0.1500,4.0891,-0.0205
Adult,GB,Random_LF,0.2000,auto,0.7824,0.7737,0.0122,,0.2000,4.0292,-0.0102
Adult,GB,Random_LF,0.2000,lf,0.7824,0.7737,0.0122,,0.2000,3.6897,0.0577
Adult,GB,Random_LF,0.2500,auto,0.7824,0.7623,0.0119,,0.2500,4.1771,-0.0457
Adult,GB,Random_LF,0.2500,lf,0.7824,0.7623,0.0119,,0.2500,3.9910,-0.0085
