dataset,model,acc_mean,acc_std,f1_mean,f1_std,target_class,n_samples,n_features
UNSW-NB15,LR,0.98888,0.000665,0.988859,0.000667,1,25000,45
UNSW-NB15,RF,1.0,0.0,1.0,0.0,1,25000,45
UNSW-NB15,GB,1.0,0.0,1.0,0.0,1,25000,45
Adult,LR,0.825898,0.002839,0.723203,0.004446,1,48842,14
Adult,RF,0.858082,0.002234,0.792616,0.00265,1,48842,14
Adult,GB,0.860211,0.001633,0.782351,0.001489,1,48842,14
SMS_Spam,LR,0.978834,0.001564,0.953687,0.003669,1,5572,500
SMS_Spam,RF,0.979372,0.00393,0.952662,0.009562,1,5572,500
SMS_Spam,GB,0.96287,0.004035,0.911304,0.009977,1,5572,500
MNIST,LR,0.87475,0.003549,0.874666,0.003547,1,8000,784
MNIST,RF,0.958625,0.002352,0.958621,0.00235,1,8000,784
MNIST,GB,0.922125,0.00325,0.922112,0.003257,1,8000,784
