dataset,model,attack_type,epsilon,acc_mean,acc_std,f1_mean,f1_std,asr_mean,asr_std,n_samples,n_features
UNSW-NB15,LR,Backdoor,0.01,0.985333,0.001491,0.985305,0.001493,0.423121,0.024952,15000,45
UNSW-NB15,RF,Backdoor,0.01,1.0,0.0,1.0,0.0,0.986769,0.007987,15000,45
UNSW-NB15,GB,Backdoor,0.01,1.0,0.0,1.0,0.0,1.0,0.0,15000,45
UNSW-NB15,LR,Backdoor,0.05,0.9816,0.001718,0.981568,0.001722,0.897495,0.006047,15000,45
UNSW-NB15,RF,Backdoor,0.05,1.0,0.0,1.0,0.0,0.997945,0.002006,15000,45
UNSW-NB15,GB,Backdoor,0.05,1.0,0.0,1.0,0.0,1.0,0.0,15000,45
UNSW-NB15,LR,Backdoor,0.1,0.98,0.001461,0.979967,0.001466,0.961464,0.004318,15000,45
UNSW-NB15,RF,Backdoor,0.1,0.999933,0.000133,0.999933,0.000134,0.999615,0.000514,15000,45
UNSW-NB15,GB,Backdoor,0.1,1.0,0.0,1.0,0.0,1.0,0.0,15000,45
UNSW-NB15,LR,Backdoor,0.15,0.9778,0.001046,0.977767,0.001051,0.982659,0.002929,15000,45
UNSW-NB15,RF,Backdoor,0.15,1.0,0.0,1.0,0.0,0.999743,0.000315,15000,45
UNSW-NB15,GB,Backdoor,0.15,1.0,0.0,1.0,0.0,1.0,0.0,15000,45
UNSW-NB15,LR,Backdoor,0.2,0.976733,0.001625,0.976701,0.00163,0.986127,0.001383,15000,45
UNSW-NB15,RF,Backdoor,0.2,0.999933,0.000133,0.999933,0.000134,0.999743,0.000315,15000,45
UNSW-NB15,GB,Backdoor,0.2,1.0,0.0,1.0,0.0,1.0,0.0,15000,45
UNSW-NB15,LR,Backdoor,0.25,0.975733,0.001482,0.975702,0.001488,0.989467,0.000655,15000,45
UNSW-NB15,RF,Backdoor,0.25,0.999933,0.000133,0.999933,0.000134,0.999872,0.000257,15000,45
UNSW-NB15,GB,Backdoor,0.25,1.0,0.0,1.0,0.0,1.0,0.0,15000,45
UNSW-NB15,LR,Backdoor,0.3,0.9744,0.001541,0.97437,0.001547,0.992421,0.001105,15000,45
UNSW-NB15,RF,Backdoor,0.3,1.0,0.0,1.0,0.0,0.999872,0.000257,15000,45
UNSW-NB15,GB,Backdoor,0.3,1.0,0.0,1.0,0.0,1.0,0.0,15000,45
Adult,LR,Backdoor,0.01,0.822533,0.005418,0.719366,0.010576,1.0,0.0,15000,14
Adult,RF,Backdoor,0.01,0.8472,0.00548,0.774953,0.008237,0.999912,0.000175,15000,14
Adult,GB,Backdoor,0.01,0.844067,0.00507,0.744059,0.007078,0.999737,0.000526,15000,14
Adult,LR,Backdoor,0.05,0.8222,0.005572,0.722012,0.011282,1.0,0.0,15000,14
Adult,RF,Backdoor,0.05,0.845333,0.006498,0.774195,0.009814,1.0,0.0,15000,14
Adult,GB,Backdoor,0.05,0.8446,0.003356,0.745537,0.004779,1.0,0.0,15000,14
Adult,LR,Backdoor,0.1,0.821467,0.006369,0.724965,0.012849,1.0,0.0,15000,14
Adult,RF,Backdoor,0.1,0.8452,0.004559,0.775663,0.007277,1.0,0.0,15000,14
Adult,GB,Backdoor,0.1,0.8468,0.003606,0.752198,0.005845,1.0,0.0,15000,14
Adult,LR,Backdoor,0.15,0.822533,0.005049,0.730344,0.010695,1.0,0.0,15000,14
Adult,RF,Backdoor,0.15,0.844667,0.004502,0.776889,0.007047,1.0,0.0,15000,14
Adult,GB,Backdoor,0.15,0.846067,0.005587,0.753171,0.009547,1.0,0.0,15000,14
Adult,LR,Backdoor,0.2,0.822333,0.00483,0.734321,0.010229,1.0,0.0,15000,14
Adult,RF,Backdoor,0.2,0.842733,0.005347,0.776825,0.00881,1.0,0.0,15000,14
Adult,GB,Backdoor,0.2,0.847133,0.004405,0.758209,0.008072,1.0,0.0,15000,14
Adult,LR,Backdoor,0.25,0.8214,0.004302,0.736831,0.009054,1.0,0.0,15000,14
Adult,RF,Backdoor,0.25,0.842467,0.003581,0.779797,0.005017,1.0,0.0,15000,14
Adult,GB,Backdoor,0.25,0.847667,0.003399,0.764815,0.008809,1.0,0.0,15000,14
Adult,LR,Backdoor,0.3,0.819267,0.005166,0.737819,0.009666,1.0,0.0,15000,14
Adult,RF,Backdoor,0.3,0.840467,0.004806,0.78072,0.006293,1.0,0.0,15000,14
Adult,GB,Backdoor,0.3,0.850067,0.002542,0.776924,0.003398,1.0,0.0,15000,14
SMS_Spam,LR,Backdoor,0.01,0.975067,0.002076,0.946283,0.003909,0.357764,0.019072,5572,500
SMS_Spam,RF,Backdoor,0.01,0.978475,0.002537,0.950744,0.006267,0.998551,0.001404,5572,500
SMS_Spam,GB,Backdoor,0.01,0.947265,0.005878,0.867956,0.017318,0.036232,0.011245,5572,500
SMS_Spam,LR,Backdoor,0.05,0.971121,0.004958,0.939047,0.009442,0.709524,0.015776,5572,500
SMS_Spam,RF,Backdoor,0.05,0.979372,0.003158,0.952959,0.007515,1.0,0.0,5572,500
SMS_Spam,GB,Backdoor,0.05,0.941883,0.007576,0.85052,0.022835,0.999379,0.001242,5572,500
SMS_Spam,LR,Backdoor,0.1,0.968969,0.004964,0.934543,0.008961,0.846998,0.006395,5572,500
SMS_Spam,RF,Backdoor,0.1,0.979193,0.003178,0.952523,0.007871,1.0,0.0,5572,500
SMS_Spam,GB,Backdoor,0.1,0.939193,0.008149,0.839997,0.028923,1.0,0.0,5572,500
SMS_Spam,LR,Backdoor,0.15,0.964305,0.006673,0.925561,0.013027,0.903313,0.005462,5572,500
SMS_Spam,RF,Backdoor,0.15,0.980628,0.004267,0.955951,0.010285,1.0,0.0,5572,500
SMS_Spam,GB,Backdoor,0.15,0.937578,0.006229,0.835668,0.020999,1.0,0.0,5572,500
SMS_Spam,LR,Backdoor,0.2,0.965202,0.005598,0.927067,0.011789,0.927536,0.01149,5572,500
SMS_Spam,RF,Backdoor,0.2,0.980269,0.004207,0.955292,0.010295,1.0,0.0,5572,500
SMS_Spam,GB,Backdoor,0.2,0.938655,0.004833,0.842047,0.013491,1.0,0.0,5572,500
SMS_Spam,LR,Backdoor,0.25,0.965022,0.00372,0.927494,0.007245,0.949896,0.009812,5572,500
SMS_Spam,RF,Backdoor,0.25,0.980448,0.002498,0.955645,0.00624,1.0,0.0,5572,500
SMS_Spam,GB,Backdoor,0.25,0.942063,0.005517,0.855082,0.017796,1.0,0.0,5572,500
SMS_Spam,LR,Backdoor,0.3,0.961973,0.006281,0.92179,0.012001,0.962112,0.005343,5572,500
SMS_Spam,RF,Backdoor,0.3,0.980448,0.002969,0.9559,0.007262,1.0,0.0,5572,500
SMS_Spam,GB,Backdoor,0.3,0.944036,0.004899,0.861883,0.014435,1.0,0.0,5572,500
MNIST,LR,Backdoor,0.01,0.8725,0.004089,0.872419,0.004113,0.982211,0.005739,8000,784
MNIST,RF,Backdoor,0.01,0.9575,0.002592,0.957495,0.002593,0.111309,0.036779,8000,784
MNIST,GB,Backdoor,0.01,0.889375,0.004937,0.889354,0.004935,0.376366,0.091138,8000,784
MNIST,LR,Backdoor,0.05,0.873125,0.005,0.873011,0.005009,0.991868,0.002737,8000,784
MNIST,RF,Backdoor,0.05,0.9575,0.002437,0.957491,0.002437,0.791868,0.031867,8000,784
MNIST,GB,Backdoor,0.05,0.88425,0.004039,0.884218,0.004033,0.966963,0.03357,8000,784
MNIST,LR,Backdoor,0.1,0.872,0.004301,0.871862,0.004338,0.993901,0.003887,8000,784
MNIST,RF,Backdoor,0.1,0.955,0.001677,0.95498,0.001675,0.968234,0.010447,8000,784
MNIST,GB,Backdoor,0.1,0.88175,0.004565,0.881667,0.004554,0.994409,0.003558,8000,784
MNIST,LR,Backdoor,0.15,0.87225,0.005528,0.872077,0.005567,0.993393,0.003718,8000,784
MNIST,RF,Backdoor,0.15,0.954875,0.002543,0.954847,0.002553,0.992884,0.004928,8000,784
MNIST,GB,Backdoor,0.15,0.874125,0.006526,0.873944,0.006573,0.999746,0.000508,8000,784
MNIST,LR,Backdoor,0.2,0.869625,0.006526,0.869382,0.006592,0.994155,0.002737,8000,784
MNIST,RF,Backdoor,0.2,0.952,0.003861,0.951952,0.003872,0.998221,0.001296,8000,784
MNIST,GB,Backdoor,0.2,0.87125,0.00375,0.870936,0.003767,0.999238,0.000622,8000,784
MNIST,LR,Backdoor,0.25,0.86775,0.008107,0.867419,0.008206,0.993393,0.002464,8000,784
MNIST,RF,Backdoor,0.25,0.95075,0.004116,0.950687,0.004133,1.0,0.0,8000,784
MNIST,GB,Backdoor,0.25,0.86775,0.006796,0.86729,0.006911,1.0,0.0,8000,784
MNIST,LR,Backdoor,0.3,0.867125,0.006502,0.866743,0.006529,0.994409,0.002616,8000,784
MNIST,RF,Backdoor,0.3,0.948625,0.004058,0.94853,0.004081,1.0,0.0,8000,784
MNIST,GB,Backdoor,0.3,0.869,0.007691,0.868341,0.007791,1.0,0.0,8000,784
