dataset,model,attack_type,epsilon,defense_profile,acc_mean,acc_std,f1_mean,f1_std,asr_mean,asr_std,removal_rate_mean,removal_rate_std,time_ratio_mean,I_score,n_samples,n_features
UNSW-NB15,LR,Backdoor,0.01,auto,,,0.987,,0.9165,,0.01,,,0.3277,,
UNSW-NB15,RF,Backdoor,0.01,auto,,,1.0,,0.978,,0.01,,,0.2313,,
UNSW-NB15,GB,Backdoor,0.01,auto,,,0.9993,,1.0,,0.01,,,0.2933,,
UNSW-NB15,LR,Backdoor,0.01,backdoor,,,0.987,,0.9165,,0.01,,,0.3016,,
UNSW-NB15,RF,Backdoor,0.01,backdoor,,,1.0,,0.978,,0.01,,,0.2551,,
UNSW-NB15,GB,Backdoor,0.01,backdoor,,,0.9993,,1.0,,0.01,,,0.287,,
UNSW-NB15,LR,Backdoor,0.05,auto,,,0.9843,,0.9548,,0.05,,,0.2938,,
UNSW-NB15,RF,Backdoor,0.05,auto,,,1.0,,0.9908,,0.05,,,0.1987,,
UNSW-NB15,GB,Backdoor,0.05,auto,,,0.9989,,0.9988,,0.05,,,0.2548,,
UNSW-NB15,LR,Backdoor,0.05,backdoor,,,0.9843,,0.9548,,0.05,,,0.3124,,
UNSW-NB15,RF,Backdoor,0.05,backdoor,,,1.0,,0.9908,,0.05,,,0.1911,,
UNSW-NB15,GB,Backdoor,0.05,backdoor,,,0.9989,,0.9988,,0.05,,,0.3198,,
UNSW-NB15,LR,Backdoor,0.1,auto,,,0.9827,,0.9755,,0.1,,,0.3488,,
UNSW-NB15,RF,Backdoor,0.1,auto,,,1.0,,0.9978,,0.1,,,0.1673,,
UNSW-NB15,GB,Backdoor,0.1,auto,,,0.9975,,1.0,,0.1,,,0.3209,,
UNSW-NB15,LR,Backdoor,0.1,backdoor,,,0.9827,,0.9755,,0.1,,,0.3164,,
UNSW-NB15,RF,Backdoor,0.1,backdoor,,,1.0,,0.9978,,0.1,,,0.2685,,
UNSW-NB15,GB,Backdoor,0.1,backdoor,,,0.9975,,1.0,,0.1,,,0.3461,,
UNSW-NB15,LR,Backdoor,0.15,auto,,,0.98,,0.9805,,0.15,,,0.4348,,
UNSW-NB15,RF,Backdoor,0.15,auto,,,0.9998,,0.9996,,0.15,,,0.2526,,
UNSW-NB15,GB,Backdoor,0.15,auto,,,0.995,,1.0,,0.15,,,0.3474,,
UNSW-NB15,LR,Backdoor,0.15,backdoor,,,0.98,,0.9805,,0.15,,,0.4578,,
UNSW-NB15,RF,Backdoor,0.15,backdoor,,,0.9998,,0.9996,,0.15,,,0.2284,,
UNSW-NB15,GB,Backdoor,0.15,backdoor,,,0.995,,1.0,,0.15,,,0.3069,,
UNSW-NB15,LR,Backdoor,0.2,auto,,,0.9808,,0.9794,,0.2,,,0.4199,,
UNSW-NB15,RF,Backdoor,0.2,auto,,,0.9996,,0.9992,,0.2,,,0.2007,,
UNSW-NB15,GB,Backdoor,0.2,auto,,,0.9972,,1.0,,0.2,,,0.3839,,
UNSW-NB15,LR,Backdoor,0.2,backdoor,,,0.9808,,0.9794,,0.2,,,0.4571,,
UNSW-NB15,RF,Backdoor,0.2,backdoor,,,0.9996,,0.9992,,0.2,,,0.2041,,
