dataset,model,attack_type,epsilon,defense_profile,acc_mean,acc_std,f1_mean,f1_std,removal_rate_mean,removal_rate_std,time_ratio_mean,I_score,n_samples,n_features
UNSW-NB15,LR,Random_LF,0.01,auto,,,0.9885,,0.01,,,0.3539,,
UNSW-NB15,RF,Random_LF,0.01,auto,,,0.9976,,0.01,,,0.6359,,
UNSW-NB15,GB,Random_LF,0.01,auto,,,0.9996,,0.01,,,0.651,,
UNSW-NB15,LR,Random_LF,0.01,lf,,,0.9885,,0.01,,,0.4083,,
UNSW-NB15,RF,Random_LF,0.01,lf,,,0.9976,,0.01,,,0.6357,,
UNSW-NB15,GB,Random_LF,0.01,lf,,,0.9996,,0.01,,,0.6821,,
UNSW-NB15,LR,Random_LF,0.05,auto,,,0.9848,,0.05,,,0.3529,,
UNSW-NB15,RF,Random_LF,0.05,auto,,,0.9901,,0.05,,,0.6866,,
UNSW-NB15,GB,Random_LF,0.05,auto,,,0.9996,,0.05,,,0.6547,,
UNSW-NB15,LR,Random_LF,0.05,lf,,,0.9848,,0.05,,,0.3817,,
UNSW-NB15,RF,Random_LF,0.05,lf,,,0.9901,,0.05,,,0.6721,,
UNSW-NB15,GB,Random_LF,0.05,lf,,,0.9996,,0.05,,,0.6441,,
UNSW-NB15,LR,Random_LF,0.1,auto,,,0.9814,,0.1,,,0.5006,,
UNSW-NB15,RF,Random_LF,0.1,auto,,,0.9788,,0.1,,,0.708,,
UNSW-NB15,GB,Random_LF,0.1,auto,,,0.998,,0.1,,,0.6711,,
UNSW-NB15,LR,Random_LF,0.1,lf,,,0.9814,,0.1,,,0.5055,,
UNSW-NB15,RF,Random_LF,0.1,lf,,,0.9788,,0.1,,,0.6994,,
UNSW-NB15,GB,Random_LF,0.1,lf,,,0.998,,0.1,,,0.6861,,
UNSW-NB15,LR,Random_LF,0.15,auto,,,0.9771,,0.15,,,0.4646,,
UNSW-NB15,RF,Random_LF,0.15,auto,,,0.9615,,0.15,,,0.7298,,
UNSW-NB15,GB,Random_LF,0.15,auto,,,0.9978,,0.15,,,0.6915,,
UNSW-NB15,LR,Random_LF,0.15,lf,,,0.9771,,0.15,,,0.4396,,
UNSW-NB15,RF,Random_LF,0.15,lf,,,0.9615,,0.15,,,0.7215,,
UNSW-NB15,GB,Random_LF,0.15,lf,,,0.9978,,0.15,,,0.696,,
UNSW-NB15,LR,Random_LF,0.2,auto,,,0.9731,,0.2,,,0.5467,,
UNSW-NB15,RF,Random_LF,0.2,auto,,,0.9446,,0.2,,,0.7086,,
UNSW-NB15,GB,Random_LF,0.2,auto,,,0.9954,,0.2,,,0.7389,,
UNSW-NB15,LR,Random_LF,0.2,lf,,,0.9731,,0.2,,,0.5183,,
UNSW-NB15,RF,Random_LF,0.2,lf,,,0.9446,,0.2,,,0.7395,,
UNSW-NB15,GB,Random_LF,0.2,lf,,,0.9954,,0.2,,,0.7101,,
UNSW-NB15,LR,Random_LF,0.25,auto,,,0.9684,,0.25,,,0.5099,,
UNSW-NB15,RF,Random_LF,0.25,auto,,,0.9108,,0.25,,,0.7194,,
UNSW-NB15,GB,Random_LF,0.25,auto,,,0.994,,0.25,,,0.7809,,
UNSW-NB15,LR,Random_LF,0.25,lf,,,0.9684,,0.25,,,0.5075,,
UNSW-NB15,RF,Random_LF,0.25,lf,,,0.9108,,0.25,,,0.7027,,
UNSW-NB15,GB,Random_LF,0.25,lf,,,0.994,,0.25,,,0.7788,,
UNSW-NB15,LR,Random_LF,0.3,auto,,,0.965,,0.3,,,0.4789,,
UNSW-NB15,RF,Random_LF,0.3,auto,,,0.8629,,0.3,,,0.7012,,
UNSW-NB15,GB,Random_LF,0.3,auto,,,0.9871,,0.3,,,0.7984,,
