dataset,model,attack_type,epsilon,acc_mean,acc_std,f1_mean,f1_std,n_samples,n_features
UNSW-NB15,LR,Random_LF,0.01,0.987533,0.001655,0.987507,0.001659,15000,45
UNSW-NB15,RF,Random_LF,0.01,0.9986,0.00049,0.998598,0.000491,15000,45
UNSW-NB15,GB,Random_LF,0.01,0.999867,0.000163,0.999866,0.000164,15000,45
UNSW-NB15,LR,Random_LF,0.05,0.984933,0.001806,0.984901,0.00181,15000,45
UNSW-NB15,RF,Random_LF,0.05,0.990667,0.002716,0.990647,0.002722,15000,45
UNSW-NB15,GB,Random_LF,0.05,0.999933,0.000133,0.999933,0.000134,15000,45
UNSW-NB15,LR,Random_LF,0.1,0.982267,0.002284,0.982227,0.002289,15000,45
UNSW-NB15,RF,Random_LF,0.1,0.979267,0.001718,0.979209,0.001726,15000,45
UNSW-NB15,GB,Random_LF,0.1,1.0,0.0,1.0,0.0,15000,45
UNSW-NB15,LR,Random_LF,0.15,0.98,0.002468,0.979953,0.002473,15000,45
UNSW-NB15,RF,Random_LF,0.15,0.964733,0.004399,0.964601,0.004429,15000,45
UNSW-NB15,GB,Random_LF,0.15,1.0,0.0,1.0,0.0,15000,45
UNSW-NB15,LR,Random_LF,0.2,0.977267,0.00237,0.977208,0.00238,15000,45
UNSW-NB15,RF,Random_LF,0.2,0.9432,0.005875,0.942924,0.00594,15000,45
UNSW-NB15,GB,Random_LF,0.2,0.9998,0.000267,0.9998,0.000267,15000,45
UNSW-NB15,LR,Random_LF,0.25,0.9748,0.000748,0.97473,0.000753,15000,45
UNSW-NB15,RF,Random_LF,0.25,0.9136,0.004343,0.913046,0.004474,15000,45
UNSW-NB15,GB,Random_LF,0.25,0.999667,0.000298,0.999666,0.000299,15000,45
UNSW-NB15,LR,Random_LF,0.3,0.971067,0.003586,0.970976,0.003615,15000,45
UNSW-NB15,RF,Random_LF,0.3,0.871267,0.008103,0.870281,0.008377,15000,45
UNSW-NB15,GB,Random_LF,0.3,0.998267,0.001665,0.998264,0.001668,15000,45
UNSW-NB15,LR,Targeted_LF,0.01,0.9876,0.001597,0.987576,0.001599,15000,45
UNSW-NB15,RF,Targeted_LF,0.01,0.9998,0.000163,0.9998,0.000164,15000,45
UNSW-NB15,GB,Targeted_LF,0.01,1.0,0.0,1.0,0.0,15000,45
UNSW-NB15,LR,Targeted_LF,0.05,0.985467,0.001204,0.98544,0.001206,15000,45
UNSW-NB15,RF,Targeted_LF,0.05,0.9986,0.000442,0.998598,0.000443,15000,45
UNSW-NB15,GB,Targeted_LF,0.05,0.999933,0.000133,0.999933,0.000134,15000,45
UNSW-NB15,LR,Targeted_LF,0.1,0.9844,0.000854,0.984373,0.000854,15000,45
UNSW-NB15,RF,Targeted_LF,0.1,0.996533,0.001046,0.996529,0.001047,15000,45
UNSW-NB15,GB,Targeted_LF,0.1,1.0,0.0,1.0,0.0,15000,45
UNSW-NB15,LR,Targeted_LF,0.15,0.984,0.001054,0.983974,0.001055,15000,45
UNSW-NB15,RF,Targeted_LF,0.15,0.992333,0.00228,0.992327,0.002281,15000,45
UNSW-NB15,GB,Targeted_LF,0.15,1.0,0.0,1.0,0.0,15000,45
UNSW-NB15,LR,Targeted_LF,0.2,0.9832,0.00098,0.983175,0.000979,15000,45
UNSW-NB15,RF,Targeted_LF,0.2,0.986533,0.002721,0.986525,0.002721,15000,45
UNSW-NB15,GB,Targeted_LF,0.2,1.0,0.0,1.0,0.0,15000,45
UNSW-NB15,LR,Targeted_LF,0.25,0.980667,0.001776,0.980642,0.001775,15000,45
UNSW-NB15,RF,Targeted_LF,0.25,0.975733,0.004292,0.975729,0.00429,15000,45
UNSW-NB15,GB,Targeted_LF,0.25,0.9998,0.0004,0.9998,0.000401,15000,45
UNSW-NB15,LR,Targeted_LF,0.3,0.975,0.002357,0.974978,0.002353,15000,45
UNSW-NB15,RF,Targeted_LF,0.3,0.9568,0.003757,0.956798,0.003759,15000,45
UNSW-NB15,GB,Targeted_LF,0.3,0.999933,0.000133,0.999933,0.000134,15000,45
Adult,LR,Random_LF,0.01,0.822667,0.005489,0.716969,0.010695,15000,14
Adult,RF,Random_LF,0.01,0.8456,0.006301,0.771444,0.010348,15000,14
Adult,GB,Random_LF,0.01,0.845533,0.003215,0.746318,0.006985,15000,14
Adult,LR,Random_LF,0.05,0.823733,0.005567,0.713686,0.011846,15000,14
Adult,RF,Random_LF,0.05,0.8422,0.004824,0.76759,0.007753,15000,14
Adult,GB,Random_LF,0.05,0.845667,0.002633,0.745735,0.005292,15000,14
Adult,LR,Random_LF,0.1,0.8212,0.006843,0.703956,0.014145,15000,14
Adult,RF,Random_LF,0.1,0.8374,0.003768,0.76057,0.006286,15000,14
Adult,GB,Random_LF,0.1,0.845333,0.003419,0.745613,0.006734,15000,14
Adult,LR,Random_LF,0.15,0.819,0.009065,0.696962,0.017929,15000,14
Adult,RF,Random_LF,0.15,0.832733,0.005356,0.75686,0.00834,15000,14
Adult,GB,Random_LF,0.15,0.840333,0.007703,0.733989,0.018291,15000,14
Adult,LR,Random_LF,0.2,0.813333,0.009163,0.68451,0.017676,15000,14
Adult,RF,Random_LF,0.2,0.814733,0.008554,0.735447,0.012486,15000,14
Adult,GB,Random_LF,0.2,0.843867,0.004782,0.74498,0.009511,15000,14
Adult,LR,Random_LF,0.25,0.812467,0.00999,0.678999,0.022609,15000,14
Adult,RF,Random_LF,0.25,0.797133,0.008397,0.714049,0.011631,15000,14
Adult,GB,Random_LF,0.25,0.839867,0.004097,0.73785,0.00779,15000,14
Adult,LR,Random_LF,0.3,0.8078,0.00845,0.664799,0.02046,15000,14
Adult,RF,Random_LF,0.3,0.766267,0.010173,0.681758,0.012248,15000,14
Adult,GB,Random_LF,0.3,0.8388,0.005311,0.735063,0.005369,15000,14
Adult,LR,Targeted_LF,0.01,0.8226,0.005916,0.718858,0.011349,15000,14
Adult,RF,Targeted_LF,0.01,0.8454,0.006451,0.772705,0.010212,15000,14
Adult,GB,Targeted_LF,0.01,0.844867,0.004156,0.744504,0.006536,15000,14
Adult,LR,Targeted_LF,0.05,0.822733,0.005559,0.723599,0.011269,15000,14
Adult,RF,Targeted_LF,0.05,0.842267,0.005376,0.773565,0.008569,15000,14
Adult,GB,Targeted_LF,0.05,0.845533,0.00474,0.75038,0.007552,15000,14
